file_id,company,from_rel,to_rel,disposition,bucket,renamed,reason,ok
F00001,Cambium,Biweekly Finance Update 2:7:25.pdf,COMPANIES/Cambium/15_Unclassified_Pending_Review/Biweekly Finance Update 2_7_25.pdf,PENDING,15 Unclassified / Pending Review,True,moved,True
F00002,Cambium,VoLo - Cambium Series A Term Sheet (Execution Copy) 10.29.24 - signed.pdf,COMPANIES/Cambium/02_Financing_and_Legal/VoLo - Cambium Series A Term Sheet (Execution Copy) 10.29.24 - signed.pdf,PLACED,02 Financing & Legal,False,moved,True
F00003,Cambium,volo_non-reliance_letter_2.4.25_re_cambium.pdf,COMPANIES/Cambium/15_Unclassified_Pending_Review/volo_non-reliance_letter_2.4.25_re_cambium.pdf,PENDING,15 Unclassified / Pending Review,False,moved,True
F00004,Cambium,Amazon Contract/GAZ5 (Formerally ATLz) 06 1718 (Glulam) and 06 1719 (CLT) - AECOM - R1.docx,COMPANIES/Cambium/09_Commercial_and_Customers/GAZ5 (Formerally ATLz) 06 1718 (Glulam) and 06 1719 (CLT) - AECOM - R1.docx,PLACED,09 Commercial & Customers,False,moved,True
F00005,Cambium,Amazon Contract/Maverick - TXZ5 - Carbon Smart Wood.pdf,COMPANIES/Cambium/09_Commercial_and_Customers/Maverick - TXZ5 - Carbon Smart Wood.pdf,PLACED,09 Commercial & Customers,False,moved,True
F00006,Cambium,Board Meetings/1.23.26 Board Meeting Deck.pdf,COMPANIES/Cambium/06_Board_and_Governance/1.23.26 Board Meeting Deck.pdf,PLACED,06 Board & Governance,False,moved,True
F00007,Cambium,Board Meetings/1.23.26 Cambium Board Meeting Deck.pdf,COMPANIES/Cambium/06_Board_and_Governance/1.23.26 Cambium Board Meeting Deck.pdf,PLACED,06 Board & Governance,False,moved,True
F00008,Cambium,Board Meetings/1.29.25 Board Meeting Deck.pdf,COMPANIES/Cambium/06_Board_and_Governance/1.29.25 Board Meeting Deck.pdf,PLACED,06 Board & Governance,False,moved,True
F00009,Cambium,Board Meetings/1.29.25 Cambium Board Meeting,COMPANIES/Cambium/06_Board_and_Governance/1.29.25 Cambium Board Meeting,PLACED,06 Board & Governance,False,moved,True
F00010,Cambium,Board Meetings/1.29.25 Cambium Board Meeting Pre-Reads,COMPANIES/Cambium/06_Board_and_Governance/1.29.25 Cambium Board Meeting Pre-Reads,PLACED,06 Board & Governance,False,moved,True
F00011,Cambium,Board Meetings/10.30.25 Board Meeting Deck.pdf,COMPANIES/Cambium/06_Board_and_Governance/10.30.25 Board Meeting Deck.pdf,PLACED,06 Board & Governance,False,moved,True
F00012,Cambium,Board Meetings/4.30.25 Cambium Board Meeting,COMPANIES/Cambium/06_Board_and_Governance/4.30.25 Cambium Board Meeting,PLACED,06 Board & Governance,False,moved,True
F00013,Cambium,Board Meetings/7.30.25 Cambium Board Deck.pdf,COMPANIES/Cambium/06_Board_and_Governance/7.30.25 Cambium Board Deck.pdf,PLACED,06 Board & Governance,False,moved,True
F00014,Cambium,Board Meetings/Baltimore Expansion.gdoc,COMPANIES/Cambium/06_Board_and_Governance/Baltimore Expansion.gdoc,PLACED,06 Board & Governance,False,moved,True
F00015,Cambium,Board Meetings/Cambium Q3 Board Meeting Minutes 10.23.24.pdf,COMPANIES/Cambium/06_Board_and_Governance/Cambium Q3 Board Meeting Minutes 10.23.24.pdf,PLACED,06 Board & Governance,False,moved,True
F00016,Cambium,Board Meetings/December 2024 Draft Financials.pdf,COMPANIES/Cambium/06_Board_and_Governance/December 2024 Draft Financials.pdf,PLACED,06 Board & Governance,False,moved,True
F00017,Cambium,Board Meetings/April 2026/4.27.26 Cambium Quarterly Board Meeting.pdf,COMPANIES/Cambium/06_Board_and_Governance/4.27.26 Cambium Quarterly Board Meeting.pdf,PLACED,06 Board & Governance,False,moved,True
F00018,Cambium,Board Meetings/April 2026/Board meeting _ Brand Presentation _ 4_27_26.pdf,COMPANIES/Cambium/06_Board_and_Governance/Board meeting _ Brand Presentation _ 4_27_26.pdf,PLACED,06 Board & Governance,False,moved,True
F00019,Cambium,Board Meetings/April 2026/Cambium_Consolidated_Financial_Statements_Q1_2026 (1).pdf,COMPANIES/Cambium/06_Board_and_Governance/Cambium_Consolidated_Financial_Statements_Q1_2026 (1).pdf,PLACED,06 Board & Governance,False,moved,True
F00020,Cambium,Convertible Note March 2026/Cambium Carbon - 2026 Note Financing - Board Consent.docx.pdf,COMPANIES/Cambium/02_Financing_and_Legal/Cambium Carbon - 2026 Note Financing - Board Consent.docx.pdf,PLACED,02 Financing & Legal,False,moved,True
F00021,Cambium,Convertible Note March 2026/Cambium Carbon - Convertible Promissory Note [Final].docx,COMPANIES/Cambium/02_Financing_and_Legal/Cambium Carbon - Convertible Promissory Note [Final].docx,PLACED,02 Financing & Legal,False,moved,True
F00022,Cambium,Convertible Note March 2026/Cambium Carbon - Secondary - Board Consent.pdf,COMPANIES/Cambium/02_Financing_and_Legal/Cambium Carbon - Secondary - Board Consent.pdf,PLACED,02 Financing & Legal,False,moved,True
F00023,Cambium,Convertible Note March 2026/Cambium Carbon PBC - 2026 Note Financing - Stockholder Consent.docx,COMPANIES/Cambium/02_Financing_and_Legal/Cambium Carbon PBC - 2026 Note Financing - Stockholder Consent.docx,PLACED,02 Financing & Legal,False,moved,True
F00024,Cambium,Convertible Note March 2026/Cambium Carbon PBC - Note - Disclosure Schedule [Final].docx,COMPANIES/Cambium/02_Financing_and_Legal/Cambium Carbon PBC - Note - Disclosure Schedule [Final].docx,PLACED,02 Financing & Legal,False,moved,True
F00025,Cambium,Convertible Note March 2026/Pages from Cambium Carbon PBC - 2026 Note Financing - Stockholder Consent(VE).pdf,COMPANIES/Cambium/02_Financing_and_Legal/Pages from Cambium Carbon PBC - 2026 Note Financing - Stockholder Consent(VE).pdf,PLACED,02 Financing & Legal,False,moved,True
F00026,Cambium,Convertible Note March 2026/Summary.pdf,COMPANIES/Cambium/02_Financing_and_Legal/Summary.pdf,PLACED,02 Financing & Legal,False,moved,True
F00027,Cambium,Diligence/Core Decks/Cambium Carbon Series A V7.1.pdf,COMPANIES/Cambium/12_Company_Materials/Cambium Carbon Series A V7.1.pdf,PLACED,12 Company Materials,False,moved,True
F00028,Cambium,Diligence/Core Decks/Cambium+Pitch+Deck (3).pdf,COMPANIES/Cambium/12_Company_Materials/Cambium+Pitch+Deck (3).pdf,PLACED,12 Company Materials,False,moved,True
F00029,Cambium,Diligence/Cost Parity/Cambium+CLT+Parity+Plan (1).pdf,COMPANIES/Cambium/10_Technical_and_Diligence/Cambium+CLT+Parity+Plan (1).pdf,PLACED,10 Technical & Diligence,False,moved,True
F00030,Cambium,Diligence/Cost Parity/Cambium+CLT+Parity+Plan.pdf,COMPANIES/Cambium/14_Historical_Superseded/Cambium+CLT+Parity+Plan.pdf,SUPERSEDED,14 Historical / Superseded,False,moved,True
F00031,Cambium,Diligence/Cost Parity/Carbon Smart Wood  Path to Parity (1).pdf,COMPANIES/Cambium/10_Technical_and_Diligence/Carbon Smart Wood Path to Parity (1).pdf,PLACED,10 Technical & Diligence,True,moved,True
F00032,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/HR (Supplementary Docs)/2024 Cambium Benefits Guide.pdf,COMPANIES/Cambium/10_Technical_and_Diligence/2024 Cambium Benefits Guide.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00033,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/HR (Supplementary Docs)/Cambium Employee Handbook.pdf,COMPANIES/Cambium/10_Technical_and_Diligence/Cambium Employee Handbook.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00034,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Cambium Impact Overview.pdf,COMPANIES/Cambium/11_Impact_and_Climate/Cambium Impact Overview.pdf,PLACED,11 Impact & Climate,False,moved,True
F00035,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Reforestation Hubs Concept Note.pdf,COMPANIES/Cambium/11_Impact_and_Climate/Reforestation Hubs Concept Note.pdf,PLACED,11 Impact & Climate,False,moved,True
F00036,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/Declare Label/Declare  Manufacturer_s Guide.pdf,COMPANIES/Cambium/11_Impact_and_Climate/Declare Manufacturer_s Guide.pdf,PLACED,11 Impact & Climate,True,moved,True
F00037,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/Declare Label/Declare Label_Carbon Smart Wood.docx,COMPANIES/Cambium/11_Impact_and_Climate/Declare Label_Carbon Smart Wood.docx,PLACED,11 Impact & Climate,False,moved,True
F00038,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/Declare Label/Declare Label_Carbon Smart Wood.jpg,COMPANIES/Cambium/14_Historical_Superseded/Declare Label_Carbon Smart Wood.jpg,SUPERSEDED,14 Historical / Superseded,False,moved,True
F00039,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/Declare Label/Declare Label_Thermo.docx,COMPANIES/Cambium/11_Impact_and_Climate/Declare Label_Thermo.docx,PLACED,11 Impact & Climate,False,moved,True
F00040,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/Declare Label/RedOak_Siding_ClearOil_5.jpg,COMPANIES/Cambium/11_Impact_and_Climate/RedOak_Siding_ClearOil_5.jpg,PLACED,11 Impact & Climate,False,moved,True
F00041,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/Declare Label/red oak siding_csw label.png,COMPANIES/Cambium/11_Impact_and_Climate/red oak siding_csw label.png,PLACED,11 Impact & Climate,False,moved,True
F00042,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/Declare Label/white oak_csw label.png,COMPANIES/Cambium/11_Impact_and_Climate/white oak_csw label.png,PLACED,11 Impact & Climate,False,moved,True
F00043,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/USDA Biobased/BioPreferredLabel_Black SVG.SVG,COMPANIES/Cambium/11_Impact_and_Climate/BioPreferredLabel_Black SVG.SVG,PLACED,11 Impact & Climate,False,moved,True
F00044,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/USDA Biobased/BioPreferredLabel_Black.PNG,COMPANIES/Cambium/11_Impact_and_Climate/BioPreferredLabel_Black.PNG,PLACED,11 Impact & Climate,False,moved,True
F00045,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/USDA Biobased/BioPreferredLabel_Color SVG.SVG,COMPANIES/Cambium/11_Impact_and_Climate/BioPreferredLabel_Color SVG.SVG,PLACED,11 Impact & Climate,False,moved,True
F00046,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/USDA Biobased/BioPreferredLabel_Color.PNG,COMPANIES/Cambium/11_Impact_and_Climate/BioPreferredLabel_Color.PNG,PLACED,11 Impact & Climate,False,moved,True
F00047,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/USDA Biobased/BioPreferredLabel_White SVG.SVG,COMPANIES/Cambium/11_Impact_and_Climate/BioPreferredLabel_White SVG.SVG,PLACED,11 Impact & Climate,False,moved,True
F00048,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/USDA Biobased/BioPreferredLabel_White.PNG,COMPANIES/Cambium/11_Impact_and_Climate/BioPreferredLabel_White.PNG,PLACED,11 Impact & Climate,False,moved,True
F00049,Cambium,Diligence/Cost Parity/Cambium Data Room 2024 _ Supplemental Documentation 2/Impact (Supplementary Docs)/Certifications/USDA Biobased/USDA BioPreferred Certification_Carbon Smart Wood.pdf,COMPANIES/Cambium/11_Impact_and_Climate/USDA BioPreferred Certification_Carbon Smart Wood.pdf,PLACED,11 Impact & Climate,False,moved,True
